"","Adipose - Subcutaneous","Adipose - Visceral (Omentum)","Adrenal Gland","Artery - Aorta","Artery - Coronary","Artery - Tibial","Bladder","Brain - Amygdala","Brain - Anterior cingulate cortex (BA24)","Brain - Caudate (basal ganglia)","Brain - Cerebellar Hemisphere","Brain - Cerebellum","Brain - Cortex","Brain - Frontal Cortex (BA9)","Brain - Hippocampus","Brain - Hypothalamus","Brain - Nucleus accumbens (basal ganglia)","Brain - Putamen (basal ganglia)","Brain - Spinal cord (cervical c-1)","Brain - Substantia nigra","Breast - Mammary Tissue","Cells - Cultured fibroblasts","Cells - EBV-transformed lymphocytes","Cervix - Ectocervix","Cervix - Endocervix","Colon - Sigmoid","Colon - Transverse","Esophagus - Gastroesophageal Junction","Esophagus - Mucosa","Esophagus - Muscularis","Fallopian Tube","Heart - Atrial Appendage","Heart - Left Ventricle","Kidney - Cortex","Kidney - Medulla","Liver","Lung","Minor Salivary Gland","Muscle - Skeletal","Nerve - Tibial","Ovary","Pancreas","Pituitary","Prostate","Skin - Not Sun Exposed (Suprapubic)","Skin - Sun Exposed (Lower leg)","Small Intestine - Terminal Ileum","Spleen","Stomach","Testis","Thyroid","Uterus","Vagina","Whole Blood","Receptor"
"HTR6",0,0,0,0,0,0,0,0.657894736842105,30.1136363636364,69.1056910569106,0,0,62.7450980392157,61.7224880382775,3.55329949238579,8.91089108910891,76.8292682926829,63.4146341463415,0,0,0,0,10.9195402298851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18021201413428,0,0,0,0,0,0,0,0,0,0,0,"HTR6"
"HTR1D",0.301659125188537,0,0,0,0,0,9.52380952380952,18.4210526315789,3.97727272727273,81.7073170731707,0,0,23.5294117647059,12.9186602870813,3.55329949238579,29.7029702970297,89.4308943089431,76.5853658536585,8.80503144654088,0,0.217864923747277,0,0.574712643678161,0,0,0.268096514745308,0.738916256157635,0,0.18018018018018,0.388349514563107,11.1111111111111,0,0,0,0,0,6.05536332179931,0,0,21.9709208400646,0,0.609756097560976,1.41342756183746,6.93877551020408,0,0,67.9144385026738,0.4149377593361,0,4.43213296398892,0,0.704225352112676,0,0,"HTR1D"
"HTR2B",40.8748114630468,36.9685767097967,98.8372093023256,86.8055555555556,81.6666666666667,57.7677224736048,52.3809523809524,0,0.568181818181818,0,0,0,0,0,1.01522842639594,0,0,0,0.628930817610063,0,39.6514161220044,43.6507936507937,13.2183908045977,77.7777777777778,80,91.1528150134048,64.2857142857143,79.7333333333333,3.78378378378378,88.9320388349515,88.8888888888889,80.1864801864802,6.01851851851852,58.8235294117647,50,6.63716814159292,23.0103806228374,13.5802469135802,0.24906600249066,9.69305331179321,46.6666666666667,0.609756097560976,6.71378091872792,11.0204081632653,0.165562913907285,1.4265335235378,31.0160427807487,3.7344398340249,38.9972144846797,5.26315789473684,96.1715160796325,98.5915492957747,45.5128205128205,0,"HTR2B"
"HTR1F",52.9411764705882,21.6266173752311,0,0,0.833333333333333,1.35746606334842,0,0.657894736842105,0,0,0,0,0,0,0,0,0,0,1.25786163522013,0,23.0936819172113,7.53968253968254,0.574712643678161,11.1111111111111,30,0,0,0,0,0,0,0,0.231481481481481,3.52941176470588,0,0,9.51557093425606,0,0,12.6009693053312,2.77777777777778,0,18.7279151943463,0.816326530612245,0,1.4265335235378,0,5.39419087136929,0,0,8.42266462480858,16.1971830985916,5.12820512820513,0,"HTR1F"
"HTR1A",0,0,0,0,0,0,0,17.7631578947368,52.8409090909091,4.0650406504065,1.86046511627907,0.4149377593361,69.0196078431373,71.7703349282297,48.2233502538071,25.7425742574257,0.813008130081301,0.48780487804878,3.14465408805031,0.719424460431655,0,0,0,0,0,0,0,0,0,0,0,0.466200466200466,0,0,0,0,0,0,0,0,8.33333333333333,0,0.706713780918728,0,0,0,0,0,0,0.831024930747922,0,0,0,0,"HTR1A"
"HTR4",0,0,3.10077519379845,24.7685185185185,28.75,7.54147812971342,0,0,1.70454545454545,39.4308943089431,0,0,0.392156862745098,3.82775119617225,2.53807106598985,0.495049504950495,52.0325203252033,18.0487804878049,0,0,0.217864923747277,0,0,0,0,27.6139410187668,55.6650246305419,0,0,0,0,24.009324009324,0.231481481481481,0,0,0,0,0,0,0,0,0,30.3886925795053,0,0,0,63.6363636363636,0,0,0,0,0,0,0,"HTR4"
"HTR1B",39.3665158371041,8.31792975970425,0.775193798449612,99.7685185185185,92.5,100,76.1904761904762,11.8421052631579,28.9772727272727,58.130081300813,1.3953488372093,2.9045643153527,54.9019607843137,52.6315789473684,8.12182741116751,32.6732673267327,74.7967479674797,45.3658536585366,5.0314465408805,7.9136690647482,11.7647058823529,96.8253968253968,0,55.5555555555556,40,0.804289544235925,3.69458128078818,73.8666666666667,0.900900900900901,78.6407766990291,22.2222222222222,0,0,4.70588235294118,25,0,27.1626297577855,0,0.74719800747198,21.1631663974152,21.1111111111111,0,2.82685512367491,8.97959183673469,0,8.55920114122682,3.20855614973262,0,43.1754874651811,78.6703601108033,8.88208269525268,31.6901408450704,28.8461538461538,0,"HTR1B"
"HTR1E",0,0,0,0,0,0,0,21.0526315789474,74.4318181818182,66.6666666666667,86.9767441860465,73.0290456431535,91.7647058823529,90.9090909090909,25.8883248730964,41.5841584158416,74.390243902439,54.1463414634146,6.28930817610063,22.3021582733813,0,0,0,22.2222222222222,30,0,0.246305418719212,17.3333333333333,0.18018018018018,10.2912621359223,0,0,0,0,0,0,0,0,0,0.484652665589661,64.4444444444444,0,0.353356890459364,4.08163265306122,1.98675496688742,0,0,0,52.6462395543176,7.20221606648199,8.11638591117917,30.2816901408451,0,0,"HTR1E"
"HTR5A",0,0,0.387596899224806,0,0,0,0,69.0789473684211,90.3409090909091,74.390243902439,100,100,97.6470588235294,94.2583732057416,67.51269035533,89.6039603960396,83.3333333333333,68.780487804878,40.251572327044,51.0791366906475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161550888529887,0,0,14.8409893992933,0,0,0.14265335235378,0,0,0,73.6842105263158,0,0,0.641025641025641,0,"HTR5A"
"HTR7",30.1659125188537,3.88170055452865,0.387596899224806,83.3333333333333,58.3333333333333,16.8929110105581,66.6666666666667,7.89473684210526,51.1363636363636,2.4390243902439,0,0,7.45098039215686,29.1866028708134,24.3654822335025,59.9009900990099,3.65853658536585,3.90243902439024,7.54716981132075,12.2302158273381,15.4684095860566,95.8333333333333,0,11.1111111111111,0,2.68096514745308,6.65024630541872,17.3333333333333,16.036036036036,0.970873786407767,0,0.233100233100233,0,0,0,0.884955752212389,5.19031141868512,3.08641975308642,13.3250311332503,22.6171243941842,1.66666666666667,0,1.06007067137809,5.30612244897959,9.10596026490066,24.2510699001427,39.572192513369,2.9045643153527,26.7409470752089,100,1.68453292496172,1.40845070422535,39.7435897435897,0.397350993377483,"HTR7"
"HTR2A",15.2337858220211,18.6691312384473,0,84.7222222222222,80.8333333333333,99.8491704374057,19.047619047619,61.1842105263158,89.7727272727273,48.3739837398374,0.930232558139535,0,98.4313725490196,97.1291866028708,50.253807106599,78.2178217821782,63.4146341463415,4.8780487804878,15.7232704402516,41.726618705036,17.2113289760349,4.76190476190476,0,22.2222222222222,30,14.745308310992,11.8226600985222,22.1333333333333,0.36036036036036,6.01941747572816,22.2222222222222,10.4895104895105,0.925925925925926,0,0,0,3.80622837370242,0,0.12453300124533,1.93861066235864,7.22222222222222,0,1.06007067137809,4.89795918367347,0.827814569536424,2.1398002853067,13.903743315508,0,8.07799442896936,69.8060941828255,2.29709035222052,34.5070422535211,44.8717948717949,0,"HTR2A"
"HTR2C",0,0,0,0,0,0,0,71.0526315789474,61.3636363636364,86.5853658536585,0.465116279069767,0,22.3529411764706,56.4593301435407,52.2842639593909,93.5643564356436,90.650406504065,76.5853658536585,34.5911949685535,53.2374100719424,0,0,0,0,0,0,0,0.266666666666667,0,0,0,0,0,0,0,0,0,0,0,0.161550888529887,0,0,16.2544169611307,0.816326530612245,0,0.14265335235378,0,0,0,0,0,0,17.9487179487179,0,"HTR2C"
